version,ms
679,1.83315
680,1.83046
681,1.82446
682,1.84192
683,1.82077
684,1.83669
685,1.84415
686,1.83631
687,1.84362
688,1.83715
689,1.84331
690,1.83923
691,1.85469
692,1.85223
693,1.86069
694,1.86085
695,1.86715
696,1.87638
697,1.86431
698,1.86431
699,1.85785
700,1.87277
701,1.89
702,1.88262
703,1.88138
704,1.88246
705,1.88631
706,1.89208
707,1.88562
708,1.90069
709,1.89831
710,1.91738
711,1.901
712,1.90715
713,1.89646
714,1.92069
715,1.90892
716,1.91977
717,1.919
718,1.92246
719,1.931
720,1.92392
721,1.92746
722,1.93069
723,1.94423
724,1.92715
725,1.93508
726,2.05138
727,1.992
728,1.95523
729,1.95177
730,1.95192
731,1.96
732,1.96285
733,1.96346
734,1.94708
735,1.95608
736,1.96215
737,1.97846
738,1.96285
739,1.98846
740,1.977
741,1.97962
742,1.96815
743,1.98938
744,1.98854
745,1.99792
746,1.97515
747,1.99577
748,1.98915
749,2.00154
750,1.99477
751,2.00215
752,2.00908
753,2.01031
754,1.98762
755,2.01669
756,2.01062
757,2.00854
758,2.01838
759,2.01669
760,2.01331
761,2.02323
762,2.02723
763,2.02846
764,2.02431
765,2.03431
766,2.02785
767,2.04754
768,2.029
769,2.05269
770,2.04115
771,2.05454
772,2.04438
773,2.047
774,2.04515
775,2.06792
776,2.05715
777,2.07392
778,2.07
779,2.08415
780,2.061
781,2.07838
782,2.072
783,2.08315
784,2.07808
785,2.07823
786,2.06554
787,2.08785
788,2.07177
789,2.10123
790,2.091
791,2.09269
792,2.08685
793,2.09246
794,2.116
795,2.11431
796,2.09315
797,2.09477
798,2.09969
799,2.11323
800,2.10769
801,2.11662
802,2.11715
803,2.12308
804,2.12054
805,2.10846
806,2.12546
807,2.12108
808,2.11846
809,2.13823
810,2.12338
811,2.12677
812,2.12762
813,2.132
814,2.13992
815,2.13669
816,2.14069
817,2.14277
818,2.13677
819,2.14146
820,2.143
821,2.14985
822,2.15038
823,2.16631
824,2.15015
825,2.16815
826,2.162
827,2.17385
828,2.18154
829,2.16338
830,2.17638
831,2.17531
832,2.17792
833,2.19277
834,2.18562
835,2.18131
836,2.183
837,2.201
838,2.19646
839,2.21562
840,2.19138
841,2.19238
842,2.21169
843,2.2
844,2.22254
845,2.20008
846,2.21562
847,2.21154
848,2.22123
849,2.219
850,2.219
851,2.22154
852,2.22969
853,2.23585
854,2.24792
855,2.22892
856,2.23485
857,2.22546
858,2.26708
859,2.23277
860,2.27046
861,2.35862
862,2.36154
863,2.25838
864,2.40608
865,2.31015
866,2.27269
867,2.26592
868,2.26215
869,2.27054
870,2.28123
871,2.27792
872,2.27946
873,2.25992
874,2.27754
875,2.28892
876,2.28985
877,2.30138
878,2.30262
879,2.29069
880,2.35146
881,2.417
882,2.28485
883,2.29808
884,2.28562
885,2.29623
886,2.30646
887,2.31769
888,2.30615
889,2.31938
890,2.30246
891,2.31292
892,2.315
893,2.32454
894,2.33123
895,2.32977
896,2.33338
897,2.32746
898,2.32177
899,2.33654
900,2.34623
901,2.34708
902,2.34654
903,2.341
904,2.34269
905,2.34885
906,2.35446
907,2.34631
908,2.36146
909,2.35392
910,2.36115
911,2.35715
912,2.35854
913,2.36638
914,2.37608
915,2.37746
916,2.37115
917,2.38092
918,2.37838
919,2.37862
920,2.384
921,2.38562
922,2.38754
923,2.40277
924,2.39092
925,2.39554
926,2.39854
927,2.39292
928,2.40362
929,2.41362
930,2.412
931,2.40208
932,2.41377
933,2.402
934,2.41685
935,2.40608
936,2.42746
937,2.43192
938,2.44062
939,2.41569
940,2.43823
941,2.41969
942,2.43462
943,2.43908
944,2.43754
945,2.44946
946,2.43362
947,2.45146
948,2.45031
949,2.46492
950,2.44692
951,2.455
952,2.45254
953,2.47638
954,2.45708
955,2.46046
956,2.46246
957,2.47823
958,2.467
959,2.47423
960,2.49123
961,2.561
962,2.56654
963,2.58415
964,2.57615
965,2.57677
966,2.59185
967,2.585
968,2.55754
969,2.49577
970,2.49846
971,2.50538
972,2.49277
973,2.49885
974,2.49731
975,2.499
976,2.50062
977,2.51169
978,2.52762
979,2.50669
980,2.53108
981,2.51431
982,2.502
983,2.69092
984,2.59785
985,2.52062
986,2.52815
987,2.52446
988,2.54031
989,2.53254
990,2.53977
991,2.54238
992,2.54062
993,2.54215
994,2.55469
995,2.54646
996,2.55438
997,2.55038
998,2.56069
999,2.57992
1000,2.58215
1001,2.54362
1002,2.58546
1003,2.58485
1004,2.56892
1005,2.58038
1006,2.56331
1007,2.57585
1008,2.57062
1009,2.56877
1010,2.57423
1011,2.57631
1012,2.57177
1013,2.59262
1014,2.59623
1015,2.60515
1016,2.58208
1017,2.59762
1018,2.60208
1019,2.60946
1020,2.62162
1021,2.60915
1022,2.60954
1023,2.61023
1024,2.62238
1025,2.60669
1026,2.62692
1027,2.61023
1028,2.62992
1029,2.62077
1030,2.63569
1031,2.63108
1032,2.64585
1033,2.63246
1034,2.66738
1035,2.63015
1036,2.65908
1037,2.63985
1038,2.64708
1039,2.65277
1040,2.66231
1041,2.65877
1042,2.68162
1043,2.66692
1044,2.66115
1045,2.67285
1046,2.67077
1047,2.67269
1048,2.66631
1049,2.69862
1050,2.699
1051,2.67669
1052,2.68515
1053,2.69562
1054,2.69054
1055,2.70731
1056,2.68
1057,2.69069
1058,2.68715
1059,2.70246
1060,2.70938
1061,2.71685
1062,2.70931
1063,2.71192
1064,2.71177
1065,2.72662
1066,2.72523
1067,2.72246
1068,2.72685
1069,2.70762
1070,2.72715
1071,2.71438
1072,2.73562
1073,2.73254
1074,2.736
1075,2.72669
1076,2.75746
1077,2.73377
1078,2.74423
1079,2.74077
1080,2.749
1081,2.73631
1082,2.75985
1083,2.76777
1084,2.75223
1085,2.76615
1086,2.78177
1087,2.77485
1088,2.76015
1089,2.76523
