<version>,<mean_time>,<total>
1210,1.52347,74.65
1211,1.52861,74.902
1212,1.53027,74.983
1213,1.52847,74.895
1214,1.53212,75.074
1215,1.53186,75.061
1216,1.53592,75.26
1217,1.53149,75.043
1218,1.53043,74.991
1219,1.53461,75.196
1220,1.53743,75.334
1221,1.53629,75.278
1222,1.53463,75.197
1223,1.53731,75.328
1224,1.59773,78.289
1225,1.54616,75.762
1226,1.54208,75.562
1227,1.54031,75.475
1228,1.54378,75.645
1229,1.54416,75.664
1230,1.54678,75.792
1231,1.54192,75.554
1232,1.54392,75.652
1233,1.54771,75.838
1234,1.54753,75.829
1235,1.54863,75.883
1236,1.54888,75.895
1237,1.55114,76.006
1238,1.55476,76.183
1239,1.55488,76.189
1240,1.55478,76.184
1241,1.55424,76.158
